platform,store_id,product_id,canonical_asin,product_name,brand,price,currency,product_url,review_count,collected_at
amazon,A3UITLIH0G45Q9,B0DT6WZY7D,B0DT6WZY7D,CLOSEMATE 10 Pairs Low Cut Short Ankle Socks for Men and 6 Pairs Mens No Show Socks (US Mens Size: 7-10),CLOSEMATE,30.38,USD,https://www.amazon.com/dp/B0DT6WZY7D,0,2026-08-19T18:45:34Z
amazon,A3UITLIH0G45Q9,B0DT6X99HS,B0DT6X99HS,CLOSEMATE 6 Pairs Mens No Show Socks and 10 Pairs Low Cut Short Ankle Socks for Men (US Mens Size: 10-13),CLOSEMATE,30.38,USD,https://www.amazon.com/dp/B0DT6X99HS,0,2026-08-19T18:45:42Z
amazon,A3UITLIH0G45Q9,B0DT6XL4DR,B0DT6XL4DR,CLOSEMATE 10 Pairs Low Cut Short Ankle Socks for Men and 6 Pairs Mens No Show Socks (US Mens Size: 7-10),CLOSEMATE,30.38,USD,https://www.amazon.com/dp/B0DT6XL4DR,0,2026-08-19T18:46:43Z
amazon,A3UITLIH0G45Q9,B0DT6YSQD9,B0DT6YSQD9,CLOSEMATE 5 Pairs Womens Crew Calf Socks (US Womens Size: 8-11) and 3 Pairs Crew Slouch Socks for Women (US Womens Size: 5-11),CLOSEMATE,37.03,"",https://www.amazon.com/dp/B0DT6YSQD9,0,2026-08-19T18:46:51Z
amazon,A3UITLIH0G45Q9,B0DT6ZWSKN,B0DT6ZWSKN,CLOSEMATE 3 Pairs Womens Winter Boot Socks (US Womens Size: 5-11) and 5 Pairs Crew Calf Socks for Women (US Womens Size: 8-11),CLOSEMATE,37.98,USD,https://www.amazon.com/dp/B0DT6ZWSKN,0,2026-08-19T19:06:04Z
amazon,A3UITLIH0G45Q9,B0DT8B1X7Z,B0DT8B1X7Z,CLOSEMATE 5 Pairs Womens Crew Calf Socks (US Womens Size: 5-8) and 3 Pairs Winter Boot Socks for Women (US Womens Size: 5-11),CLOSEMATE,37.98,USD,https://www.amazon.com/dp/B0DT8B1X7Z,0,2026-08-19T19:05:56Z
amazon,A3UITLIH0G45Q9,B0DT8FNYGM,B0DT8FNYGM,CLOSEMATE 5 Pairs Womens Crew Calf Socks (US Womens Size: 5-8) and 3 Pairs Crew Slouch Socks for Women (US Womens Size: 5-11),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DT8FNYGM,0,2026-08-19T19:06:12Z
amazon,A3UITLIH0G45Q9,B0DT8K67M5,B0DT8K67M5,CLOSEMATE 3 Pairs Womens Winter Boot Socks (US Womens Size: 5-11) and 5 Pairs Crew Calf Socks for Women (US Womens Size: 5-8),CLOSEMATE,36.08,USD,https://www.amazon.com/dp/B0DT8K67M5,0,2026-09-04T01:15:08Z
amazon,A3UITLIH0G45Q9,B0DT8KZTBX,B0DT8KZTBX,CLOSEMATE Women's 8 Count Crew Calf Socks (US Womens Size: 8-11) and Slouch Socks (US Womens Size: 5-11),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DT8KZTBX,0,2026-08-19T19:07:38Z
amazon,A3UITLIH0G45Q9,B0DT8VG9CT,B0DT8VG9CT,CLOSEMATE 5 Pairs Womens Crew Calf Socks (US Womens Size: 8-11) and 3 Pairs Crew Slouch Socks for Women (US Womens Size: 5-11),CLOSEMATE,38.98,USD,https://www.amazon.com/dp/B0DT8VG9CT,0,2026-08-19T19:07:45Z
amazon,A3UITLIH0G45Q9,B0DT939FRL,B0DT939FRL,CLOSEMATE 5 Pairs Thick Thermal Winter Crew Socks and 3 Pairs Warm Merino Wool Hiking Socks for Men (US Mens Size: 9-12),CLOSEMATE,51.28,USD,https://www.amazon.com/dp/B0DT939FRL,0,2026-08-19T19:08:47Z
amazon,A3UITLIH0G45Q9,B0DT9BF359,B0DT9BF359,CLOSEMATE 6 Pairs Mens No Show Socks and 10 Pairs Low Cut Short Ankle Socks for Men (US Mens Size: 10-13),CLOSEMATE,30.38,USD,https://www.amazon.com/dp/B0DT9BF359,0,2026-08-19T19:08:49Z
amazon,A3UITLIH0G45Q9,B0DT9C2B79,B0DT9C2B79,CLOSEMATE 5 Pairs Thick Thermal Winter Crew Socks and 3 Pairs Warm Merino Wool Hiking Socks for Men (US Mens Size: 12-15),CLOSEMATE,51.28,USD,https://www.amazon.com/dp/B0DT9C2B79,0,2026-08-19T19:10:18Z
amazon,A3UITLIH0G45Q9,B0DT9C9QPZ,B0DT9C9QPZ,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks and 6 Pairs Cushioned Crew Socks for Men（US Mens Size 9-12）,CLOSEMATE,43.69,USD,https://www.amazon.com/dp/B0DT9C9QPZ,0,2026-08-19T19:10:25Z
amazon,A3UITLIH0G45Q9,B0DT9DTQ9W,B0DT9DTQ9W,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks and 6 Pairs Athletic Crew Socks for Men（US Mens Size 9-12）,CLOSEMATE,41.78,USD,https://www.amazon.com/dp/B0DT9DTQ9W,0,2026-08-19T19:11:23Z
amazon,A3UITLIH0G45Q9,B0DT9GWL6D,B0DT9GWL6D,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks and 6 Pairs Cushioned Crew Socks for Men（US Mens Size 9-12）,CLOSEMATE,43.69,USD,https://www.amazon.com/dp/B0DT9GWL6D,0,2026-08-19T19:11:29Z
amazon,A3UITLIH0G45Q9,B0DT9JMWL9,B0DT9JMWL9,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks and 6 Pairs Athletic Crew Socks for Men（US Mens Size 9-12）,CLOSEMATE,44.63,USD,https://www.amazon.com/dp/B0DT9JMWL9,0,2026-08-20T02:24:19Z
amazon,A3UITLIH0G45Q9,B0DT9JNV5Q,B0DT9JNV5Q,CLOSEMATE 6 Pairs Mens Athletic Crew Socks (US Mens Size 9-12) and 6 Pairs Athletic Ankle Socks for Men (US Mens Size 12-15),CLOSEMATE,44.63,USD,https://www.amazon.com/dp/B0DT9JNV5Q,0,2026-08-19T19:12:55Z
amazon,A3UITLIH0G45Q9,B0DT9L2Y4X,B0DT9L2Y4X,Closemate 6 Pairs Mens Athletic Crew Socks (US Mens Size 9-12) and 6 Pairs Athletic Ankle Socks for Men (US Mens Size 12-15),CLOSEMATE,41.78,USD,https://www.amazon.com/dp/B0DT9L2Y4X,0,2026-08-19T19:13:07Z
amazon,A3UITLIH0G45Q9,B0DT9M52MG,B0DT9M52MG,CLOSEMATE 6 Pairs Mens Athletic Crew Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,43.68,USD,https://www.amazon.com/dp/B0DT9M52MG,0,2026-08-19T19:13:22Z
amazon,A3UITLIH0G45Q9,B0DT9NHG6Q,B0DT9NHG6Q,CLOSEMATE 6 Pairs Mens Athletic Crew Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,43.68,USD,https://www.amazon.com/dp/B0DT9NHG6Q,0,2026-08-19T19:14:08Z
amazon,A3UITLIH0G45Q9,B0DTCK6WR9,B0DTCK6WR9,CLOSEMATE 6 Pairs Mens Athletic Ankle Socks (US Mens Size 9-12) and 7 Pairs Ankle Running Socks for Men (US Mens Size 12-15),CLOSEMATE,37.03,USD,https://www.amazon.com/dp/B0DTCK6WR9,0,2026-08-19T19:14:49Z
